step,loss,eval_loss,learning_rate
10,4.9374,,1.168831168831169e-06
20,3.9326,,2.4675324675324676e-06
30,3.0405,,3.7662337662337666e-06
40,2.5386,,5.064935064935065e-06
50,2.2838,,6.363636363636364e-06
60,1.8988,,7.662337662337663e-06
70,1.5977,,8.96103896103896e-06
80,1.3836,,1.025974025974026e-05
90,1.2979,,1.155844155844156e-05
100,1.1023,,1.2857142857142859e-05
110,1.0718,,1.4155844155844157e-05
120,0.966,,1.5454545454545454e-05
130,0.9104,,1.6753246753246756e-05
140,0.8374,,1.8051948051948053e-05
150,0.7575,,1.9350649350649354e-05
160,0.6756,,1.9999353128944386e-05
170,0.6701,,1.9994178662619237e-05
180,0.6295,,1.9983832407652323e-05
190,0.6208,,1.9968319718024776e-05
200,0.607,,1.994764862124487e-05
210,0.6055,,1.9921829814193987e-05
220,0.59,,1.9890876657591146e-05
230,0.5492,,1.9854805169079142e-05
240,0.6009,,1.9813634014935697e-05
250,0.5443,,1.9767384500414054e-05
260,0.613,,1.971608055871793e-05
270,0.572,,1.965974873861655e-05
280,0.5476,,1.95984181907062e-05
290,0.5688,,1.9532120652325362e-05
300,0.5349,,1.946089043113128e-05
307,,0.507222056388855,
310,0.4902,,1.938476438734642e-05
320,0.5169,,1.9303781914684057e-05
330,0.5069,,1.921798491996279e-05
340,0.4598,,1.912741780142061e-05
350,0.512,,1.9032127425739695e-05
360,0.4986,,1.8932163103793832e-05
370,0.4588,,1.882757656513101e-05
380,0.4814,,1.871842193120444e-05
390,0.4821,,1.8604755687365728e-05
400,0.4711,,1.848663665363489e-05
410,0.4632,,1.8364125954262112e-05
420,0.4732,,1.823728698609719e-05
430,0.4857,,1.8106185385782916e-05
440,0.5008,,1.7970888995789427e-05
450,0.4826,,1.783146782930706e-05
460,0.492,,1.7687994034015943e-05
470,0.469,,1.7540541854750984e-05
480,0.4801,,1.738918759508166e-05
490,0.5097,,1.7234009577826428e-05
500,0.4452,,1.7075088104522235e-05
510,0.5032,,1.6912505413870054e-05
520,0.4526,,1.6746345639178013e-05
530,0.4744,,1.657669476482407e-05
540,0.4905,,1.640364058176079e-05
550,0.4659,,1.6227272642085326e-05
560,0.4531,,1.6047682212697925e-05
570,0.4786,,1.586496222807318e-05
580,0.4644,,1.5679207242168234e-05
590,0.4655,,1.549051337949305e-05
600,0.4766,,1.5298978285367826e-05
610,0.4502,,1.510470107539353e-05
614,,0.47416096925735474,
620,0.3819,,1.4907782284161531e-05
630,0.3511,,1.4708323813228949e-05
640,0.3735,,1.4506428878386623e-05
650,0.38,,1.4302201956247e-05
660,0.3588,,1.4095748730179559e-05
670,0.3669,,1.3887176035621777e-05
680,0.3538,,1.367659180479391e-05
690,0.3399,,1.3464105010846222e-05
700,0.3458,,1.3249825611467535e-05
710,0.3771,,1.3033864491984324e-05
720,0.3708,,1.2816333407979775e-05
730,0.3731,,1.259734492746246e-05
740,0.3674,,1.2377012372614676e-05
750,0.3823,,1.2155449761150431e-05
760,0.3552,,1.1932771747313574e-05
770,0.3642,,1.1709093562546483e-05
780,0.3927,,1.148453095586011e-05
790,0.3585,,1.1259200133936142e-05
800,0.3448,,1.1033217700992373e-05
810,0.3622,,1.0806700598442343e-05
820,0.3705,,1.0579766044380473e-05
830,0.3271,,1.0352531472924035e-05
840,0.3623,,1.0125114473443332e-05
850,0.3753,,9.897632729711553e-06
860,0.3611,,9.670203959005733e-06
870,0.3452,,9.442945851190433e-06
880,0.355,,9.215976007815553e-06
890,0.3552,,8.989411881259888e-06
900,0.3416,,8.763370713951841e-06
910,0.3416,,8.537969477698822e-06
920,0.3911,,8.313324813156633e-06
921,,0.4933302402496338,
930,0.2751,,8.08955296947028e-06
940,0.2439,,7.866769744117332e-06
950,0.2345,,7.645090422985035e-06
960,0.2382,,7.4246297207121695e-06
970,0.2534,,7.205501721326491e-06
980,0.2455,,6.987819819208531e-06
990,0.2443,,6.771696660412242e-06
1000,0.2512,,6.557244084372922e-06
1010,0.2478,,6.344573066032524e-06
1020,0.2323,,6.133793658412339e-06
1030,0.2673,,5.925014935662728e-06
1040,0.2474,,5.71834493661944e-06
1050,0.2473,,5.5138906088956514e-06
1060,0.2565,,5.311757753538711e-06
1070,0.2347,,5.1120509702802e-06
1080,0.252,,4.914873603407649e-06
1090,0.2602,,4.720327688285922e-06
1100,0.2433,,4.52851389855596e-06
1110,0.256,,4.3395314940381536e-06
1120,0.2257,,4.153478269367381e-06
1130,0.2466,,3.970450503386218e-06
1140,0.249,,3.7905429093225477e-06
